A. JÚNIOR, JAIME
ABAURRE, MARIA BERNARDETE MARQUES
ABIB, JONAS
ABRAMOVICH, FANNY
ABREU, ALÊ
ABREU, ALINE
ABREU, ANGÉLICA
ABREU, CAIO FERNANDO
ABREU, CASIMIRO DE
AB'SABER, AZIZ NACIB
ACEDO, ROSANE
ADORNO, THEODOR W. 
AGOSTINHO, CRISTINA
AGUIAR, LUIS ANTÔNIO
AIEX, ANOAR
ALBERGARIA, LINO DE
ALBERONI, FRANCESCO
ALÇADA, ISABEL
ALCANTARA, IVAN 
ALENCAR, ALÉCIO
ALENCAR, CHICO
ALENCAR, JOSÉ DE
ALIGHIERI, DANTE
ALLSBURG, CRIS VAN
ALLUÉ, JOSEP M.
ALMEIDA , LAURA BEATRIZ JOAQUIM DE
ALMEIDA, ANITA CORREIA LIMA
ALMEIDA, ANTONIO LUIZ MENDES DE
ALMEIDA, ELENICE DE
ALMEIDA, FERNANDA LOPES DE
ALMEIDA, IVAN ENGLER DE
ALMEIDA, JOAQUIM DE
ALMEIDA, JOSÉ DE
ALMEIDA, LÚCIA MACHADO DE
ALMEIDA, MANUEL ANTÔNIO DE
ALMEIDA, MARIA CECÍLIA MENDES
ALMEIDA, MARIA ELIZABETH
ALMEIDA, PAULO NUNES DE 
ALMEIDA, ROSÂNGELA DOIN DE
ALMEIDA, THEODORA MARIA MENDES DE
ALPHEN, JEAN-CLAUDE R.
ALTENFELDER, ANNA HELENA
ALVARENGA, JOSÉ
ALVES, CASTRO
ALVES, GILBERTO LUIZ
ALVES, NENO
ALVES, RENATO
ALVES, RUBEM
ALVES, SHEILLA
ALVES, THAIS
AMADO, JANAÍNA 
AMADO, JORGE
AMARAL, AMADEU
AMARAL, FIRMINO TEIXEIRA DO
AMARAL, JADER DENICOL DO
AMARAL, MARIA ADELAIDE
AMARO, CUÍCA DE SANTO
AMARO, FÁBIO
AMBRÓSIO, UBIRATAN DE
AMLMEIDA, HUGO
AMODEO, MARIA CELINA BASTO
AMORIM, MARIA LUISA
AMORIM, PATRÍCIA
AMOS, EDUARDO
ANA, ANTONIO SANTA 
ANDAHAZI, FEDERICO
ANDERSEN, HANS CHRISTIAN
ANDRADE, CARLOS DRUMMOND DE
ANDRADE, CARLOS DRUMMOND DE 
ANDRADE, DORIVAL MARTINS DE
ANDRADE, JOAQUIM C.  DE 
ANDRADE, MARIA HILDA DE PAIVA
ANDRADE, MÁRIO  DE
ANDRADE, OSWALD DE
ANDRADE, ROGÉRIO 
ANDRADE, TELMA GUIMARÃES CASTRO
ANDRADE, TIAGO DE MELO
ANDRÉ, HILDEBRANDO 
ANDRIOLO, ARLEY
ANGELI, JOSÉ
ANGELO, IVAN
ANGTHICHAY
ANJOS, AUGUSTO DOS
ANSTEY, CAROLINE
ANTONELLI FILHO, ROBERTO 
ANTÔNIO, DANIEL
ANTÔNIO, JOÃO
ANTUNES, ARNALDO
ANTUNES, CELSO
AQUINO, GILDA DE
AQUINO, JÚLIO GROPPA 
AQUINO, MARÇAL
AQUINO, PATRÍCIA 
ARAGÃO, JOSÉ CARLOS
ARANHA, CECILIA
ARARIBY
ARAÚJO, ALCEU MAYNARD
ARAÚJO, JORGE 
ARAÚJO, JOSÉ PRATA
ARAÚJO, MARIA LYSIA CORRÊA DE 
ARAÚJO, MIRIAM R.C.
ARAÚJO, NAIARA MATTAR DE
ARAUJO, NEIRE DE SOUSA
ARAÚJO, ROGÉRIA 
ARBEX JUNIOR, JOSÉ
ARCHER, HELENA
ARCHIV, BAUHAUS
ARCO-VERDE, RENAN
ARINOS, AFONSO
ARLON, PENELOPE
ARMELIN, MARIA ALICE MENDES
ARNOLD, MATTHIAS
ARNS, PAULO EVARISTO CARDEAL 
AROEIRA, MARIA LUÍSA CAMPOS
ARRABAL, JOSÉ
ARROYO, MIGUEL G. 
ARRUDA, JOSÉ JOBSONDE A. 
ARÚJO, HENRY CORREA DE
ASSARÉ, PATATIVA DO 
ASSIS, MACHADO DE 
ASSUMÇÃO, JÉFERSON
ATHAYDE, JOÃO MARTINS DE
AURÉLIO, OLIVEIRA
AYMONE, SANDRA
AZAVEDO, RICARDO
AZENHA, MARIA DA GRAÇA 
AZEVEDO, ALUÍSIO
AZEVEDO, ALUÍSIO 
AZEVEDO, ARTUR 
AZEVEDO, FERNANDO
AZEVEDO, GUILA
AZEVEDO, HELOÍSA DE AQUINO
AZEVEDO, JÔ 
AZEVEDO, JOSÉ FRNACISCO
AZEVEDO, RICARDO
B. NETO, ALDO 
BÁ, GABRIEL
BAAL-TESHUVA, JACOB
BABBITT, NATALIE
BACCELLI, CARLOS
BACICHETTE, HELÔ
BADRA, RODNEI
BAGNO, MARCOS
BAGUINHA
BAIRRE, J. M.
BALDI, ELIZABETH
BALDIN, NELMA
BALLIETT, BLUE
BALZAC, HONORE DE 
BANDEIRA, MANUEL
BANDEIRA, PEDRO
BANYAI, ISTVAN
BARATA, MÁRIO
BARBATO, SILVIANE BONACCORSI
BARBOSA, ANA MAE
BARBOSA, MARIA LUCIA VICTOR 
BARBOSA, ROGÉRIO ANDRADE
BARCELLOS, CACO
BARDARI, SÉRSI
BARI, ATILIO
BARRAGÁN, SALATIEL
BARRETO, ANTONIO
BARRETO, DÉBORA
BARRETO, ELBA SIQUEIRA DE SÁ
BARRETO, LIMA
BARRETO, LIMA
BARRIE, J. M.
BARRIGA, HELIANA 
BARROS, EDGARD LUIZ DE
BARROS, HIGINO COSME
BARROS, LEANDRO GOMES  DE
BARROS, MANOEL DE
BARROS, MARIA DE LOURDES TEIXEIRA
BARROSO, PATRICIA MESQUITA
BARRUCAND, MARIANNE
BARSOTTI, RENATO
BARTHES, ROLAND
BATISTA, MÁRCIA
BATITUCI, GRAÇA 
BATTISTONI FILHO, DUÍLIO
BAUMAN, JANINA
BAUMAN, ZYGMUNT
BAUMEYER, IRACEMA DA COSTA
BEARDEN, MILT
BEATRIZ, LAURA
BECK, ELEONORE
BECKS-MALORNY, ULRIKE
BEDNORZ, ACHIM
BEISIEGEL, CELSO DE RUI
BELÉM, VALÉRIA
BELI, ROBERTO 
BELINKY, TATIANA
BELLI, ROBERTO 
BELLINGHAUSEN, INGRID BIESEMEYER
BENCZIK, EDYLEINE B. P.
